id,mol_dir_name,bmrbacc,sub_id,x_chem_shift,y_chem_shift,x_width,y_width,height,volume
28348,glycogen,bmse000232,6,71.411,4.796,2.635,3.852,15891320,15840400
28349,glycogen,bmse000232,7,76.952,4.79,2.903,3.1,14666720,14661010
28350,glycogen,bmse000232,8,76.056,3.99,3.049,5.905,28931230,587656800
28351,glycogen,bmse000232,9,76.05,3.962,2.707,9.227,36098960,1079799000
28352,glycogen,bmse000232,10,73.921,3.848,3.204,5.474,24699770,302652600
28353,glycogen,bmse000232,11,63.227,3.838,2.66,13.346,121699200,5606077000
28354,glycogen,bmse000232,12,73.901,3.821,2.708,8.106,21810290,345129700
28355,glycogen,bmse000232,13,73.954,3.793,3.841,0,15266400,30547510
28356,glycogen,bmse000232,14,63.238,3.782,2.591,22.153,101155300,7299183000
28357,glycogen,bmse000232,15,74.443,3.709,4.14,3.643,16864300,61701760
28358,glycogen,bmse000232,16,75.517,3.69,3.093,7.373,52214740,1638720000
28359,glycogen,bmse000232,17,63.256,3.691,3.419,6.061,22823340,400999500
28360,glycogen,bmse000232,18,79.472,3.673,3.525,3.889,16026510,58550650
28361,glycogen,bmse000232,19,74.358,3.65,3.6,7.768,35828550,1488330000
28362,glycogen,bmse000232,20,79.577,3.638,3.682,5.117,19759470,165831200
28363,glycogen,bmse000232,21,74.388,3.617,3.363,10.243,47368680,2317234000
28364,glycogen,bmse000232,22,75.561,3.602,3.011,5.524,22902520,301502600
28365,glycogen,bmse000232,23,74.411,3.594,3.306,18.445,50693610,3203838000
28366,glycogen,bmse000232,24,74.404,3.582,3.015,8.894,49601430,1867148000
28367,glycogen,bmse000232,25,72.064,3.424,2.556,10.369,38752980,1123432000
28368,glycogen,bmse000232,26,72.058,3.406,2.386,0,37841480,86014070
28369,melibiose,bmse000233,1,94.899,5.237,2.377,3.535,162997500,859275800
28370,melibiose,bmse000233,2,100.874,4.979,2.254,3.848,399055600,3024504000
28371,melibiose,bmse000233,3,98.779,4.677,2.243,2.885,192650400,1175858000
28372,melibiose,bmse000233,4,98.78,4.658,2.292,2.831,214910100,1248897000
28373,melibiose,bmse000233,5,72.791,4.014,2.629,3.6,68090130,236356500
28374,melibiose,bmse000233,6,71.9,3.993,2.19,3.597,462980400,3247115000
28375,melibiose,bmse000233,7,72.798,3.991,2.878,3.689,63728630,119885700
28376,melibiose,bmse000233,8,73.656,3.977,2.609,3.745,195692800,2220742000
