formula,c_isotope,n_isotope,mass
"C29H33ClN2O2",13,14,505.32034632
"C29H33ClN2O2",12,15,478.21712581
"C29H33ClN2O2",13,15,507.314416107
"C22H32O6",12,14,392.21988876
"C22H32O6",13,14,414.293695191
"C22H32O6",12,15,392.21988876
"C22H32O6",13,15,414.293695191
"C22H32O7",12,14,408.214803382
"C22H32O7",13,14,430.288609813
"C22H32O7",12,15,408.214803382
"C22H32O7",13,15,430.288609813
"C42H70O14",12,14,798.476556956
"C42H70O14",13,14,840.617460144
"C42H70O14",12,15,798.476556956
"C42H70O14",13,15,840.617460144
"C6H11N2O4PS3",12,14,301.961855432
"C6H11N2O4PS3",13,14,307.981984459
"C6H11N2O4PS3",12,15,303.955925218
"C6H11N2O4PS3",13,15,309.976054245
"C22H32O8",12,14,424.209718004
"C22H32O8",13,14,446.283524436
"C22H32O8",12,15,424.209718004
"C22H32O8",13,15,446.283524436
"C22H32O9",12,14,440.204632626
"C22H32O9",13,14,462.278439058
"C22H32O9",12,15,440.204632626
"C22H32O9",13,15,462.278439058
"C11H18N2O2S",12,14,242.108898522
"C11H18N2O2S",13,14,253.145801738
"C11H18N2O2S",12,15,244.102968309
"C11H18N2O2S",13,15,255.139871525
"C32H43N8O20P3S",12,14,984.152716084
"C32H43N8O20P3S",13,14,1016.26007089
"C32H43N8O20P3S",12,15,992.128995229
"C32H43N8O20P3S",13,15,1024.23635004
"C31H64",12,14,436.500802054
"C31H64",13,14,467.604802026
"C31H64",12,15,436.500802054
"C31H64",13,15,467.604802026
"C6H13NO3S",12,14,179.061613979
"C6H13NO3S",13,14,185.081743006
"C6H13NO3S",12,15,180.058648872
"C6H13NO3S",13,15,186.078777899
"C12H18N4O",12,14,234.148061221
"C12H18N4O",13,14,246.188319274
"C12H18N4O",12,15,238.136200793
"C12H18N4O",13,15,250.176458847
"C18H39O7P",12,14,398.243340117
"C18H39O7P",13,14,416.303727197
"C18H39O7P",12,15,398.243340117
"C18H39O7P",13,15,416.303727197
"C14H8N2O",12,14,220.063662889
"C14H8N2O",13,14,234.110630619
"C14H8N2O",12,15,222.057732676
"C14H8N2O",13,15,236.104700405
"C32H36N4",12,14,476.293997176
"C32H36N4",13,14,508.401351986
"C32H36N4",12,15,480.282136749
